name,type
100 OG,Hybrid
707 Headband,Hybrid
A-10,Indica
Acapulco Gold,Sativa
Afghani Bullrider,Hybrid
Afghan Big Bud,Indica
Afghan Diesel,Hybrid
Afghan Kush,Hybrid
Afghani,Indica
Afghanica,Hybrid
Afghooey,Indica
Afgoo,Indica
Afgooey,Indica
Afwreck,Hybrid
Agent Orange,Hybrid
AK-47,Hybrid
AK-48,Hybrid
Alaskan Thunder Fuck,Sativa
Alien Kush,Hybrid
Aloha,Hybrid
Alohaberry,Hybrid
Ambrosia,Hybrid
Amethyst,Hybrid
Amnesia Haze,Hybrid
Anesthesia,Indica
Apollo 11,Hybrid
Arabian Gold,Hybrid
Arjan's Strawberry Haze,Hybrid
Atomic Northern Lights,Hybrid
A-Train,Hybrid
Avalon,Hybrid
Banana Diesel,Hybrid
Banana Kush,Hybrid
BC Roadkill,Hybrid
BC Sweet Tooth,Hybrid
Berkeley,Hybrid
Berry White,Hybrid
Big Bud,Hybrid
Big Budda Cheese,Hybrid
Big Wreck,Hybrid
Black Dhalia,Hybrid
Black Diesel,Hybrid
Black Domina,Hybrid
Black Jack,Hybrid
Black Label Kush,Indica
Black Widow,Hybrid
Blackberry,Hybrid
Blackberry Hashplant,Indica
Blackberry Kush,Hybrid
Blockhead,Hybrid
Blue Bayou,Hybrid
Blue Champagne,Hybrid
Blue Cheese,Hybrid
Blue Crack,Hybrid
Blue Diesel,Hybrid
Blue Dragon,Hybrid
Blue Dream,Hybrid
Blue Goo,Hybrid
Blue Mystic,Hybrid
Blue OG,Hybrid
Blue Rhino,Hybrid
Blue Satellite,Hybrid
Blue Train,Hybrid
Blue Widow,Hybrid
Blueberry,Hybrid
Blueberry Diesel,Hybrid
Blueberry Haze,Hybrid
Blueberry Headband,Hybrid
Blueberry Kush,Indica
Boysenberry,Hybrid
Brainstorm Haze,Hybrid
Broke Diesel,Hybrid
Bruce Banner,Hybrid
Bubba Kush,Hybrid
Bubba OG,Hybrid
Bubble Gum,Hybrid
Bubbleberry,Hybrid
Bubblegun,Hybrid
Buddha's Sister,Hybrid
Burmese Kush,Hybrid
Butterscotch,Indica
C13 Haze,Hybrid
Cannadential,Hybrid
Cannalope Haze,Hybrid
Carmelicious,Hybrid
Casey Jones,Hybrid
Cat Piss,Hybrid
Cataract Kush,Hybrid
Champagne,Hybrid
Charlottes Web,Sativa
Cheese,Hybrid
Chemdawg,Hybrid
Chemdawg #4,Hybrid
Chernobyl,Hybrid
Cherry AK-47,Hybrid
Cherry Bomb,Hybrid
Cherry Kush,Organi
Chiesel,Sativa
Chocolate Kush,Hybrid
Chocolope,Sativa
Church OG,Hybrid
Cinderella 99,Sativa
Citrus Kush,Hybrid
Connie Chung,Hybrid
Cotton Candy Kush,Hybrid
Cracker Jack,Hybrid
Critical Mass,Hybrid
Dairy Queen,Hybrid
Darth Vader OG,Indica
Death Star,Hybrid
Deep Purple,Hybrid
Diablo,Hybrid
Diesel Duff,Hybrid
DJ Short Blueberry,Indica
Domino,Hybrid
Double D,Sativa
Double Diesel,Hybrid
Dream Queen,Hybrid
Durban Cheese,Hybrid
Durban Poison,Sativa
Dutch Treat,Hybrid
Early Girl,Indica
Earthquake,Hybrid
East Coast Sour Diesel,Sativa
Ed Rosenthal Super Bud,Hybrid
El Jeffe,Hybrid
El Nino,Hybrid
Euphoria,Hybrid
Exodus Cheese,Hybrid
Fire Haze,Sativa
Fire OG,Hybrid
Flo,Hybrid
Frostbite,Sativa
Fruity Pebbles,Hybrid
Fucking Incredible,Hybrid
G-13,Hybrid
G13 Haze,Hybrid
God Bud,Hybrid
Godberry,Indica
God's Gift,Hybrid
Golden Goat,Hybrid
Goo,Hybrid
